rec-id,version,first-name,surname,birth-name,postcode,city,ssn,birth-year,birth-month,birth-day
rec-00358,dup-1,alia,matthews,sherrington,7381,possneck,299428640,1965,12,5
rec-00364,dup-1,ashlee,clapham,clarke,32289,rodinghausen,55444355,199,10,1
rec-00365,dup-1,hope,jessica,crook,51766,engelskirchen,804896866,1968,10,19
rec-00372,dup-1,hana,stephenson,berry,15926,luckau,569705550,1993,11,6
rec-00395,dup-1,ruby,grainger,wojtal,46286,dorsten,869953439,1993,9,16
rec-00405,dup-1,chelsie,ballantyne,deakin,25337,elmshorn,705843602,1957,9,1
rec-00413,dup-1,mikhayla,matthews,,73760,ostfildern,95686609,1949,5,2
rec-00416,dup-1,giorgia,boutchard,matthews,80689,munchen,65480853,1997,9,20
rec-00420,dup-1,olivia,zhe,,31867,pohle,545878329,1988,4,23
rec-00424,dup-1,cheree,skeen,white,34130,kassel,475704523,1986,11,26
rec-00442,dup-1,ruby,mason,girdler,20099,hamburg,367791666,1977,4,29
rec-00450,dup-1,elly,boutchard,,61381,friedrichsdorf,359726734,1985,9,15
rec-00463,dup-1,reegan,coleman,sarah,14641,nauen,144877251,2009,3,2
rec-00470,dup-1,kelsey,steinert,,71088,holzgerlingen,302392502,2011,5,21
rec-00510,dup-1,jessica,hodby,,33619,bielefeld,28456508,1989,11,17
rec-00517,dup-1,abby,bellamy,,31621,pennigsehl,883964321,2011,2,27
rec-00527,dup-1,isabella,pegg,,79730,murg,790457762,1963,12,2
rec-00574,dup-1,sarah,steed,,4931,muhlberg,884585709,1935,8,7
rec-00586,dup-1,aimee,bullock,griffen,57319,bad berleburg,677598035,1989,9,7
rec-00605,dup-1,stephanie,coleman,,50126,bergheim,776376454,1978,6,28
rec-00610,dup-1,samantha,lowe,dixon,77876,kappelrodeck,225432948,1990,9,23
rec-00613,dup-1,marleigh,germinario,,64405,fischbachtal,267547428,1970,9,22
rec-00618,dup-1,jessie,white,,90547,stein,699552598,1999,7,26
rec-00626,dup-1,marleigh,harbard,,92545,niedermurach,510664662,1987,3,12
rec-00642,dup-1,mikayla,kincaid,gigney,85053,ingolstadt,444764916,1961,4,23
rec-00647,dup-1,isabella,ah chin,,10407,berlin prenzlauer berg,587822120,2006,3,1
rec-00649,dup-1,charlie,senner,,85459,berglern,709118439,1946,11,28
rec-00652,dup-1,georgia,nguyen,,47475,kamp-lintfort,30958318,1974,3,8
rec-00683,dup-1,nacoya,miels,noble,4680,colditz,130662219,1968,8,5
rec-00690,dup-1,sophie,dixon,,82362,weilheim i. ob,220108575,1976,12,15
rec-00697,dup-1,erin,tiffin,,31693,hespe,181663912,2001,6,17
rec-00706,dup-1,charlee,pagac,green,53125,bonn,858641562,2012,2,15
rec-00741,dup-1,balchin,dunnicliff,emiily,59581,warstein,343758371,1959,10,15
rec-00743,dup-1,sascha,robson,,25920,risum-lindholm,80110824,1981,10,1
rec-00752,dup-1,charlotte,adrain,,64683,einhausen,469809002,2017,2,7
rec-00754,dup-1,samantha,wiseman,,10785,berlin tiergarten,14670442,1958,6,21
rec-00767,dup-1,tiarna,brining,,13351,berlin wedding,390132810,2003,1,1
rec-00771,dup-1,katelyn,george,,46395,bocholt,435160876,2020,4,30
rec-00773,dup-1,emiily,dixon,,59329,wadersloh,217118592,1974,10,14
rec-00789,dup-1,amelia,reid,,4416,markkleeberg,190650466,1982,5,7
rec-00798,dup-1,ella,clarke,galbraith,64739,hochst i. odw.,98862886,28,8,1997
rec-00799,dup-1,asha,mason,,22143,hamburg,578851677,2023,11,27
rec-00800,dup-1,chelsea,campbell,wang,35423,lich,521764477,1953,12,5
rec-00816,dup-1,larissa,mew,,25746,heide,577170867,1968,10,6
rec-00820,dup-1,ruby,whillas,,1983,grossraschen,168135616,2021,11,14
rec-00821,dup-1,mia,scaturchio,permyakoff,92660,neustadt a.d. waldnaab,78999658,1991,4,24
rec-00823,dup-1,domenique,brain,,47198,duisburg,406701601,1989,11,29
rec-00850,dup-1,taylah,kaxhiro,gatcke,53177,bonn,39224737,2001,2,22
rec-00903,dup-1,lily,paulka,bowerman,60433,frankfurt am main,387222008,2002,11,6
rec-00912,dup-1,chloe,worthington-eyre,papageorgiou,9119,chemnitz,673292501,1955,4,15
rec-00915,dup-1,brielle,crosswell,,97845,neustadt a. main,622232969,1946,3,22
rec-00938,dup-1,erin,clarke,,73557,mutlangen,120232832,1976,12,5
rec-00955,dup-1,phoebe,goldsworthy,,87751,heimertingen,424743305,2007,4,2
rec-00958,dup-1,daniella,koopman,tippins,95030,hof,48319043,1986,4,9
rec-00962,dup-1,talissa,tippins,,726937,stadland,573958192,1993,3,8
rec-00964,dup-1,sophie,clarke,,35516,munzenberg,81769169,1972,4,2
rec-00966,dup-1,grace,lovi,matthews,37355,niederorschel,85664756,1990,10,2
rec-00977,dup-1,kristen,ryan,frahn,49744,geeste,29148205,1982,0,5
rec-00981,dup-1,josephine,sudaj,jessup,64395,brensbach,661875050,1960,2,22
rec-00987,dup-1,rachel,whisson,,22527,hamburg,545425615,1993,7,8
rec-00992,dup-1,felicity,parsons-lord,shepherd,57399,kirchhundem,772369700,1980,10,23
rec-00994,dup-1,samantha,burford,reid,79362,forchheim,803447256,1982,9,17
rec-00995,dup-1,takara,matthews,draiden,51373,leverkusen,125657530,1995,2,16
rec-01017,dup-1,sarah,hanna,paterson,18581,putbus,830589033,1940,4,29
rec-01018,dup-1,elli,foch,,46240,bottrop,738323762,1948,5,18
rec-01040,dup-1,ashleigh,grosser,,58095,hagen,444783501,1974,10,5
rec-01064,dup-1,emiily,builth,nurse,13407,berlin-west,5276091,1992,9,21
rec-01066,dup-1,elly,rawlings,dancey,36381,schluchtern,695802846,9,1965,15
rec-01076,dup-1,xani,dumuid,,7318,saalfeld/saale,13309649,1938,7,20
rec-01082,dup-1,sarah,,alderman,48268,greven,125147316,2018,2,15
rec-01097,dup-1,emiily,cachia,,56589,niederbreitbach,366886471,1987,10,24
rec-01110,dup-1,jordan,stanley,burman,21516,woltersdorf,44219850,2019,11,16
rec-01130,dup-1,jasmine,robson,crouch,23758,oldenburg in holstein,382141131,1959,6,22
rec-01149,dup-1,alannah,quilliam,tailor,7950,zeulenroda-triebes,101153536,1968,6,1
rec-01152,dup-1,abby,vincent,,80331,munchen,811175865,2000,12,30
rec-01155,dup-1,caitlin,forshaw,,84164,moosthenning,320875677,1943,1,24
rec-01165,dup-1,chloe,dixon,,64756,mossautal,727418201,2001,3,14
rec-01210,dup-1,dennes,rees,phoebe,23827,wensin,576922154,1963,2,9
rec-01212,dup-1,tarshya,sandman,dixon,34292,ahnatal,421121918,1989,9,7
rec-01220,dup-1,ashlie,philipp,,34439,willebadessen,97203682,1969,4,10
rec-01231,dup-1,madison,karakoulakis,berry,70825,korntal-munchingen,724511779,1953,11,22
rec-01240,dup-1,eliza,white,,96231,staffelstein,737380256,1987,2,2
rec-01244,dup-1,brigette,mcclelland,,45134,essen,3786600q1,1971,8,7
rec-01278,dup-1,talia,walls,,61206,wollstadt,232160146,0212,5,28
rec-01302,dup-1,emiily,stanley,,38122,braunschweig,589363398,2004,12,13
rec-01314,dup-1,peyton,filipovic,laing,33378,rheda-wiedenbruck,324805166,1970,7,9
rec-01336,dup-1,renee,coleman,,34376,immenhausen,860869814,1939,1,25
rec-01339,dup-1,catherine,campbell,,31542,bad nenndorf,171352485,1983,10,6
rec-01340,dup-1,rachel,schuster,,16225,eberswalde,51920362,1988,4,1
rec-01391,dup-1,ryan,ellen,,39167,eichenbarleben,434895800,1975,1,5
rec-01402,dup-1,emma,green,,45329,essen,32361418,1970,12,11
rec-01403,dup-1,brydee,blake,,71717,beilstein,448122350,2000,3,13
rec-01412,dup-1,tiana,lamprey,dunnicliff,65399,kiedrich,440245806,1959,1,18
rec-01415,dup-1,lara,camp,,39114,magdeburg,27843291,2006,3,20
rec-01419,dup-1,sophie,bishop,bladel,55278,mommenheim,285274905,1955,3,22
rec-01429,dup-1,schkirra,campbell,,98716,elgersburg,718837313,2005,9,12
rec-01437,dup-1,white,bailee,weaver,65760,eschborn,745645966,1965,11,2
rec-01439,dup-1,chloe,rawlings,matthews,63826,geiselbach,283608058,2012,6,20
rec-01450,dup-1,felicity,white,,82380,peissenberg,404270417,1945,6,24
rec-01454,dup-1,india,kyriacou,borgmeyer,94145,haidmuhle,62700926,1993,3,29
rec-01455,dup-1,hannah,hazell,,49377,vechta,34859902,1957,3,7
rec-01457,dup-1,kelsea,white,,78054,villingen-schwenningen,339709278,1956,8,31
rec-01460,dup-1,stephanie,stolz,manthorpe,4349,leipzig,124869324,1969,8,14
rec-01472,dup-1,micaela,bishop,,53902,bad munstereifel,461583111,1969,7,4
rec-01473,dup-1,koula,george,,17159,dargun,427909157,1982,3,24
rec-01476,dup-1,niamh,braithwaite,,42781,haan,831537090,1941,5,4
rec-01482,dup-1,ruby,chorley,pavli,17419,seebad ahlbeck,602882851,1974,12,14
rec-01484,dup-1,brooklyn,merenda,,26605,aurich,406226957,2012,1,10
rec-01505,dup-1,courtney,kyriacou,soden,22961,oetjendorf,554133468,1955,6,9
rec-01506,dup-1,bridget,ryan,lowe,33607,bielefeld,391472141,1983,6,3
rec-01510,dup-1,felicity,bloomfield,,2625,bautzen,434981445,1978,10,1
rec-01511,dup-1,ashleigh,bibby,,57612,birnbach,341208139,1992,6,26
rec-01519,dup-1,jazmine,rozerio,,65558,burgschwalbach,4333252,1959,8,11
rec-01544,dup-1,marley,lock,maltman,7745,jena,332752797,2003,3,16
rec-01547,dup-1,maria,treilibs,,73733,esslingen arn neckar,89293809,1949,12,6
rec-01549,dup-1,jasmin,chandler,,49598,rieste,640439838,1992,1,8
rec-01555,dup-1,alexandra,gold,,63811,stockstadt am main,880809982,1987,2,10
rec-01596,dup-1,caitlin,sagrestano,campbell,3205,calau,742547957,1982,8,5
rec-01612,dup-1,macphail,alexandra,milburn,84416,taufkirchen (vils),847930492,2012,7,23
rec-01625,dup-1,olivia,reimers,,96231,staffelstein,137659177,1977,13,5
rec-01637,dup-1,ruby,goode,hage,7381,possneck,881822930,2005,8,11
rec-01641,dup-1,georgia,campbell,,74564,crailsheim,834978210,1962,3,7
rec-01643,dup-1,emiily,beadle,,35683,dillenburg,636688409,1957,3,29
rec-01655,dup-1,brooke,moyse,,44787,bochum,6115504,1984,3,18
rec-01663,dup-1,holly,webb,,42651,solingen,75567198,1947,6,7
rec-01668,dup-1,arabella,warneke,,38100,braunschweig,4499231g5,1969,9,23
rec-01669,dup-1,zoe,seppelt,,45357,essen,457273039,1991,4,18
rec-01672,dup-1,kate,,eyre,20251,hamburg,476494515,1963,3,4
rec-01685,dup-1,rachel,bullock,clarke,66564,ottweiler,245675580,1966,12,14
rec-01706,dup-1,isabella,ebert,spears,24878,jagel,444763237,1960,9,22
rec-01719,dup-1,karli,kulesza,,67734,katzweiler,59035981,1994,9,2
rec-01738,dup-1,mia,birkin,lodge,50937,koln,448756224,1945,2,14
rec-01756,dup-1,caitlin,guymer,,63075,offenbach am main,788576569,1958,3,18
rec-01767,dup-1,caitlin,donaldson,,39444,hecklingen,1392463431,1966,8,10
rec-01768,dup-1,sian,clarke,,6132,halle/ saale,130594692,1952,1,20
rec-01788,dup-1,stephanie,green,,47809,krefeld,228996295,1979,8,30
rec-01792,dup-1,kaitlin,tippins,,32278,kirchlengern,133525325,1983,12,14
rec-01797,dup-1,dayna,blackwell,,78554,aldingen,395892762,1975,8,10
rec-01801,dup-1,lucy,rosborough,,26209,hatten,247754920,1956,1,17
rec-01802,dup-1,brianna,lademan,,54341,fell,8183097,2015,6,4
rec-01804,dup-1,bridget,feneley,hyland,95168,marktleuthen,220927945,2008,7,2
rec-01806,dup-1,cheree,michelmore,,50767,koln,368634378,2013,2,8
rec-01816,dup-1,chelsea,dunnicliff,grosser,42855,remscheid,385140446,2010,2,2
rec-01818,dup-1,chelsea,eglinton,mccarthy,17258,feldberger seenlandschaft,349987549,1988,2,24
rec-01830,dup-1,casey,cadman,,13189,berlin pankow,529994788,2012,5,5
rec-01835,dup-1,,de fazio,isabella,69412,eberbach,658603623,1961,5,16
rec-01840,dup-1,isabella,mcgregor,ryan,88094,oberteuringen,172312624,1963,6,13
rec-01849,dup-1,kayla,neander,,8115,lichtentanne,215418466,1950,10,4
rec-01850,dup-1,brooke,creten,blackwell,22043,hamburg,851819384,2012,7,4
rec-01853,dup-1,molly,walls,,82031,grunwald,447266616,1997,7,21
rec-01892,dup-1,lily,chandler,,49586,merzen,480907389,1953,4,15
rec-01893,dup-1,sophie,beal,morrison,34292,ahnatal,103505512,2007,3,23
rec-01914,dup-1,ruby,radovic,,97792,riedenberg,471177560,1977,8,30
rec-01921,dup-1,charlotte,couzens,,79427,eschbach,527s1091,1994,1,27
rec-01928,dup-1,olivia,,wevill,17159,dargun,689130843,1965,4,5
rec-01941,dup-1,kelsye,cochrane,,75059,zaisenhausen,302858336,2010,2,14
rec-01942,dup-1,alana,dixon,heuer,31139,hildesheim,398458869,1959,7,11
rec-01948,dup-1,indiana,eisner,pontifex,4639,gossnitz,57927687,1963,6,3
rec-01949,dup-1,charlotte,hoffman,siwak,79713,bad sackingen,370778587,2003,2,17
rec-01958,dup-1,holly,gogel,,55430,oberwesel,14981567,1974,11,21
rec-01961,dup-1,portia,tunstall,,38551,ribbesbuttel,363158590,1976,4,23
rec-01971,dup-1,georgia,matthews,bellew,40549,dusseldorf,242521833,1989,8,17
rec-01982,dup-1,sophie,mermer,sloniec,67377,gommersheim,707657279,1948,1,16
rec-01984,dup-1,jessica,morrison,,40721,hilden,715602433,1974,9,1
rec-01991,dup-1,ruby,pegg,dallos,10247,berlin friedrichshain,612895125,1948,6,13
rec-02018,dup-1,madison,lowe,,65346,eltville am rhein,802675128,1988,8,18
rec-02022,dup-1,alannah,heyer,,34379,calden,232392570,1977,11,14
rec-02024,dup-1,manger,tuscany,roles,78476,allensbach,765147387,1998,7,19
rec-02041,dup-1,eng,blake,hnanah,56587,strassenhaus,685905713,2018,5,7
rec-02048,dup-1,michelle,weller,cadman,25421,pinneberg,302544940,1944,10,21
rec-02049,dup-1,sarah,blows,snell,45899,gelsenkirchen,147839029,2001,11,18
rec-02074,dup-1,bethany,bishop,brennand,53123,bonn,46325807,1977,4,16
rec-02076,dup-1,emiily,weaver,,4716q,duisburg,703424058,1974,12,10
rec-02092,dup-1,matilda,webb,,16845,neustadt (dosse),628727602,2001,9,28
rec-02096,dup-1,ruby,webb,waller,57271,hilchenbach,131738250,1991,6,20
rec-02097,dup-1,chelsea,miels,,63930,neunkirchen,617823886,1992,11,30
rec-02113,dup-1,mikayla,jozwa,,83684,tegernsee,772521469,2002,11,29
rec-02141,dup-1,freya,papageorgiou,,66359,bous,723223496,1994,11,27
rec-02145,dup-1,jasmine,beazley,,71277,rutesheim,611745855,1966,8,6
rec-02155,dup-1,bailee,fitzpatrick,clarke,97491,aidhausen,360169119,1993,5,8
rec-02157,dup-1,natalia,hammer,,12101,berlin tempelhof,419748512,1961,6,10
rec-02168,dup-1,ysobel,mason,,78253,eigeltingen,358579882,2008,4,27
rec-02177,dup-1,phoebe,,rump,83539,pfaffing,832887010,1972,11,6
rec-02179,dup-1,arabella,widdowson,,74736,hardheim,534610980,2023,10,19
rec-02190,dup-1,kaitlin,scarce,,14195,berlin dahlem,743277865,1949,3,1
rec-02192,dup-1,eleanor,vincent,bowles-baker,25485,hemdingrn,620644614,1982,7,24
rec-02195,dup-1,renai,hearn,,79353,bahlingen am kaiserstuhl,75326892,1970,6,14
rec-02198,dup-1,kimberly,matthews,,58540,meinerzhagen,877267430,1967,6,12
rec-02220,dup-1,rosa,normandale,klemm,1662,meissen,541938557,1996,12,24
rec-02221,dup-1,chelsea,clarke,,12105,berlin mariendorf,840223517,2020,11,19
rec-02233,dup-1,aikaterina,wilde,,65599,dornburg,610868973,1988,9,10
rec-02247,dup-1,madison,walls,manson,34376,immenhausen,890615524,1999,7,19
rec-02259,dup-1,sophie,grander,,92237,sulzbach-rosenberg,290274751,1992,1,12
rec-02276,dup-1,emiily,lomman,,79801,hohentengen am hochrhein,820679648,1998,12,4
rec-02287,dup-1,casey,hanna,,90489,nurnberg,721805823,2005,4,2
rec-02289,dup-1,teagan,ang,dixon,88718,daisendorf,834376152,1963,11,30
rec-02310,dup-1,danielle,white,dasilva,72664,kohlberg,26286723,1968,7,29
rec-02318,dup-1,alisha,bloomfield,willes,49597,rieste,808776956,1964,6,16
rec-02329,dup-1,monique,knappstein,,24361,gross wittensee,666769677,1975,5,11
rec-02338,dup-1,danielle,green,,12689,berlin,32372855,1984,11,26
rec-02344,dup-1,mathilde,mcclay,,40883,ratingen,262925339,1973,10,28
rec-02350,dup-1,emiily,pascoe,crouch,34246,vellmar,646835537,2005,1,4
rec-02369,dup-1,holly,white,,83512,wasserburg a. inn,190856832,6,1962,21
rec-02375,dup-1,olivia,widdowson,,70619,stuttgart,853562150,1972,4,20
rec-02376,dup-1,morgan,lock,,22397,hamburg,292704657,1980,5,26
rec-02397,dup-1,jade,cadman,nguyen,96172,muhlhausen,152513351,1958,20,8
rec-02399,dup-1,kristen,tiller,ryan,37539,bad grund,26135721,1958,7,30
rec-02401,dup-1,sylvie,price-beck,,82449,uffing a. staffelsee,832927110,1962,6,10
rec-02415,dup-1,claudia,gade,berryman,45661,recklinghausen,358563563,1945,9,27
rec-02420,dup-1,alannah,dreyer,donaldson,64853,otzberg,182597502,1951,10,17
rec-02421,dup-1,nicola,campbell,coleman,46284,dorsten,843877012,1961,6,2
rec-02424,dup-1,timara,mccracken,weaver,2694,grossdubrau,795614202,1948,6,29
rec-02427,dup-1,talia,sherriff,,79285,ebringen,887966798,2004,10,2
rec-02447,dup-1,xanthe,coleman,,90556,cadolzburg,536133661,2002,12,28
rec-02453,dup-1,jessica,humphreys,kerley,28209,bremen,179673256,2020,11,8
rec-02473,dup-1,madeoine,snell,,14641,nauen,564166679,1938,12,9
rec-02476,dup-1,hayley,tregoning,,49685,emstek,592628292,2019,8,8
rec-02549,dup-1,irene,moun,ruffy,36286,neuenstein (hessen),690649877,15,3,1947
rec-02561,dup-1,lucy,sieber,mazzone,60549,frankfurt am main,294592245,1960,8,18
rec-02563,dup-1,esme,mason,,89423,gundelfingen a.d. donau,542169659,1956,9,20
rec-02584,dup-1,kavaleris,brooker,erin,85391,allershausen,92808725,1963,11,21
rec-02591,dup-1,imogen,slape,,72181,starzach,453356465,1985,2,25
rec-02595,dup-1,stella,rudd,roche,82211,herrsching a. ammersee,125593821,1996,9,11
rec-02597,dup-1,lara,fullwood,,84174,eching,243452199,1966,4,16
rec-02614,dup-1,keira,jolly,,77796,muhlenbach,662116212,1990,9,27
rec-02637,dup-1,jaime,juma,mason,58802,balve,364447046,1990,8,14
rec-02659,dup-1,esther,rawlings,,27248,ehrenburg,48670222,1958,8,15
rec-02662,dup-1,madison,hern,,88179,oberreute,81324651,2012,1,26
rec-02708,dup-1,olivia,jolly,,27367,sottrum,328110549,2023,1,26
rec-02717,dup-1,imogen,kirkmoe,burford,15344,strausberg,134895290,2016,1,18
rec-02722,dup-1,juliana,garden,,42657,solingen,865496584,2019,3,29
rec-02754,dup-1,michaela,janowska,florinis,89362,offingen,527833149,1956,11,13
rec-02757,dup-1,hannah,elphick,,46244,bottrop,555930598,2016,7,16
rec-02761,dup-1,brianna,waller,nickolai,39110,magdeburg,679656,1975,10,23
rec-02768,dup-1,vanessa,quatermass,,1774,klingenberg,504276289,1955,9,16
rec-02783,dup-1,,hauser,georgia,67821,alsenz,253670696,2007,3,21
rec-02790,dup-1,felicity,morrison,,26121,oldenburg (oldenburg),699619735,1998,12,5
rec-02815,dup-1,isabella,white,beak,24894,tolk und twedt,45306104,1961,3,23
rec-02830,dup-1,eliza,record,,54487,wintrich,15535453,2016,6,20
rec-02850,dup-1,keely,averis,,86507,oberottmarshausen,529421823,11,8,1988
rec-02851,dup-1,leah,alves,van keulen,84094,elsendorf,215778545,1985,12,13
rec-02862,dup-1,samsntha,madigan,hodby,92543,guteneck,88340109,1942,5,7
rec-02873,dup-1,chelsea,liddy,,65366,geisenheim,78568813,1968,8,13
rec-02876,dup-1,caitlin,hope,,18609,binz,449477687,1993,1,17
rec-02886,dup-1,ruby,newey,,53113,bonn,686248408,1989,4,10
rec-02895,dup-1,haylee,white,,59590,geseke,793394388,1981,4,20
rec-02936,dup-1,maddison,chandler,ryan,10247,berlin friedrichshain,662839939,1983,7,1
rec-02944,dup-1,hayley,rembowski,,45731,waltrop,588541651,1980,12,13
rec-02951,dup-1,samantha,bloomfield,,4509,delitzsch,335252806,1988,10,29
rec-02953,dup-1,samantha,trathen,bradshaw,70629,stuttgart-flughafen,82965279,1969,4,6
rec-02955,dup-1,kailey,sones,haskett,41539,dormagen,136447604,1956,11,15
rec-02960,dup-1,,george,,50767,koln,407238747,1987,12,30
rec-02972,dup-1,amber,webb,weidenbach,96242,sonnefeld,458142602,1995,7,15
rec-02993,dup-1,mia,widdowson,,13189,berlin pankow,127927024,1987,8,7
rec-03005,dup-1,emiily,george,sellmann,30982,pattensen,86292900,1994,1,16
rec-03010,dup-1,phoebe,,ryan,39606,osterburg,838267560,1981,10,16
rec-03013,dup-1,tarnee,boyle,mason,74915,waibstadt,59121521,1999,3,16
rec-03019,dup-1,jessica,sedunary,lowe,94545,hohenau,672653058,1970,4,2
rec-03030,dup-1,grace,bloomfield,,54664,preist,2774584,1977,3,17
rec-03031,dup-1,tarnee,warnock,,39365,harbke,502639634,1944,5,3
rec-03034,dup-1,molly,goode,,45770,marl,883562673,1959,5,9
rec-03042,dup-1,taalia,wickel,,20099,hamburg,821154219,1970,10,3
rec-03044,dup-1,shae,gully,,51647,gummersbach,598607640,1987,11,17
rec-03059,dup-1,phoebe,signorelli,,21762,otterndorf,52227928,1979,2,15
rec-03082,dup-1,emiily,coleman,mesecke,85129,oberdolling,612558960,1933,8,5
rec-03089,dup-1,abbey,nguyen,de lucia,24997,wanderup,209435311,1977,2,24
rec-03094,dup-1,chelsea,hobson,,83224,grassau,431639901,1988,5,9
rec-03095,dup-1,emma,fauser,,32339,espelkamp,753114825,1989,1,24
rec-03108,dup-1,montana,bishop,,63863,eschau,317861083,1964,9,23
rec-03109,dup-1,keelin,burford,,66907,glan-munchweiler,882199881,1987,7,28
rec-03143,dup-1,madison,sedunary,,80339,munchen,96160487,1977,1,19
rec-03145,dup-1,harriet,dent,cybulski,21438,brackel,107500131,1943,12,25
rec-03150,dup-1,kayla,edson,stubbs,29439,luchow,804784662,1982,7,17
rec-03179,dup-1,naomi,musolino,,47509,rheurdt,782801441,1959,5,8
rec-03182,dup-1,grace,laing,browne,42551,velbert,20728253,1967,1,21
rec-03190,dup-1,jasmine,stronach,anicic,53225,bonn,187752411,1989,7,1
rec-03197,dup-1,madeline,weaver,,60385,frankfurt am main,766518346,1995,11,20
rec-03204,dup-1,isabella,lock,,35633,lahnau,801383381,1960,2,4
rec-03217,dup-1,aleesha,scerri,coulson,49685,emstek,774442680,1992,1,2
rec-03229,dup-1,caitlin,pulvirenti,,54664,preist,609820465,2001,12,24
rec-03244,dup-1,lilly,white,monjean,80995,munchen,45486450,1972,4,23
rec-03246,dup-1,isabella,korff,walkenhorst,33605,bielefeld,70690468,1996,3,9
rec-03251,dup-1,tara,chandler,,70439,stuttgart,845404043,1955,7,7
rec-03252,dup-1,briley,tiedeiiiann,,54584,junkerath,349547096,1983,11,16
rec-03254,dup-1,charlotte,lowe,,79379,mullheim,80544903,1972,12,29
rec-03268,dup-1,bianca,fernando,,6406,bernburg (saale),274579838,4,1982,8
rec-03276,dup-1,erin,hoque,,20535,hamburg,357793852,1997,7,9
rec-03301,dup-1,holly,rushforth,webb,48351,everswinkel,791121399,1990,6,11
rec-03339,dup-1,taylah,fenwick,,13583,berlin spandau,612169223,1969,2,20
rec-03341,dup-1,alexandra,bradshaw,,55777,berschweiler bei baumholder,483633196,1978,3,30
rec-03401,dup-1,freya,warneke,,48703,stadtlohn,437471996,1962,8,11
rec-03426,dup-1,ashley,chubb,,74369,lochgau,58656933,1972,10,30
rec-03447,dup-1,chelsea,sarnyai,,78579,neuhausen ob eck,680109105,2002,11,8
rec-03461,dup-1,noble,ferrar,madeleine,33615,bielefeld,275933127,1992,9,9
rec-03471,dup-1,isabella,mason,,32791,lage,396352191,1954,1,23
rec-03493,dup-1,alexandra,jeffries,,25996,wenningstedt-braderup (sylt),822357368,3,1985,27
rec-03494,dup-1,emiily,burnell,,66127,saarbrucken,117789121,1975,7,18
